"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","312","getAllCoursTest()","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:09 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","getAllCoursTest"
"","10","createInstrumentTestOk(String) [1] libelle = ""tria""","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk"
"","10","createInstrumentTestKo(String) [5] libelle = ""abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz""","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Test unitaire du controller pour vérifier le statut de la requête de création d'un cours non valide","13","createCoursTestKo()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestKo"
"","9","createInstrumentTestOk(String) [2] libelle = ""clarinette""","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk"
"Test unitaire du controller pour vérifier le statut de la requête de création d'un cours valide","26","createCoursTestOk()","","Thu Apr 23 06:07:07 UTC 2026","failed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestOk"
"","7","getInstrumentTestKo()","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentTestKo"
"Test unitaire du controller pour vérifier le statut de la requête de récupération de la liste des cours","12","getAllCoursTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","getAllCoursTest"
"","7","deleteInstrumentTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","deleteInstrumentTest"
"","391","contextLoads()","","Thu Apr 23 06:07:06 UTC 2026","passed","Thu Apr 23 06:07:06 UTC 2026","","fr.afpa.cda19.harmogestionapi.HarmoGestionApiApplicationTests","fr.afpa.cda19.harmogestionapi.HarmoGestionApiApplicationTests","contextLoads"
"","10","createInstrumentTestKo(String) [4] libelle = ""br""","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"","18","createInstrumentTestKo(String) [1] libelle = null","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"","10","createInstrumentTestKo(String) [3] libelle = ""a""","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Test unitaire du controller pour vérifier le statut de la requête de modification d'un cours","84","updateCoursTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","updateCoursTest"
"Test unitaire du controller pour vérifier le statut de la requête de suppression d'un cours","152","deleteCoursTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","deleteCoursTest"
"","10","getInstrumentsTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentsTest"
"","17","updateInstrumentTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","updateInstrumentTest"
"Test unitaire du controller pour vérifier le statut de la requête de récupération d'un cours","9","getCoursTest()","","Thu Apr 23 06:07:07 UTC 2026","passed","Thu Apr 23 06:07:07 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","getCoursTest"
"","10","createInstrumentTestKo(String) [2] libelle = """"","","Thu Apr 23 06:07:08 UTC 2026","passed","Thu Apr 23 06:07:08 UTC 2026","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
