"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","getInstrumentsTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentsTest"
"","8","createInstrumentTestKo(String) [4] libelle = ""br""","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Test unitaire du controller pour vérifier le statut de la requête de création d'un cours non valide","13","createCoursTestKo()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestKo"
"Test unitaire du controller pour vérifier le statut de la requête de suppression d'un cours","143","deleteCoursTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","deleteCoursTest"
"","292","getAllCoursTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerIntegrationTest","getAllCoursTest"
"Test unitaire du controller pour vérifier le statut de la requête de modification d'un cours","77","updateCoursTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","updateCoursTest"
"Test unitaire du controller pour vérifier le statut de la requête de récupération de la liste des cours","12","getAllCoursTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","getAllCoursTest"
"","7","getInstrumentTestKo()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","getInstrumentTestKo"
"","18","updateInstrumentTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","updateInstrumentTest"
"","7","deleteInstrumentTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","deleteInstrumentTest"
"","9","createInstrumentTestKo(String) [3] libelle = ""a""","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"Test unitaire du controller pour vérifier le statut de la requête de création d'un cours valide","12","createCoursTestOk()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","createCoursTestOk"
"","15","createInstrumentTestKo(String) [1] libelle = null","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"","7","createInstrumentTestOk(String) [1] libelle = ""tria""","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk"
"","7","createInstrumentTestOk(String) [2] libelle = ""clarinette""","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestOk"
"","6","createInstrumentTestKo(String) [5] libelle = ""abcdefghijklmnopqrstuvwxyzabcdefghijklmnopqrstuvwxyz""","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
"","370","contextLoads()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.HarmoGestionApiApplicationTests","fr.afpa.cda19.harmogestionapi.HarmoGestionApiApplicationTests","contextLoads"
"Test unitaire du controller pour vérifier le statut de la requête de récupération d'un cours","8","getCoursTest()","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","fr.afpa.cda19.harmogestionapi.controllers.CoursControllerTest","getCoursTest"
"","8","createInstrumentTestKo(String) [2] libelle = """"","","2026-04-22","passed","2026-04-22","","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","fr.afpa.cda19.harmogestionapi.controllers.InstrumentControllerTest","createInstrumentTestKo"
